time ,cn,text,viwer,numTokens,numLexTokens_valence,avgValence,numLexTokens_arousal,avgArousal,numLexTokens_dominance,avgDominance
"[11:12.480,11:25.480,0]",第二件领到券了我还给你减50，但这个50需要你们自己领一下，是领到优惠券的宝贝公屏上打个零证明一下，我发券了你领了，咱们没什么问题就直接谈讲解上车了。,"The second piece received the coupon I will give you a reduction of 50, but this 50 needs you to take it yourself, is the baby who received the coupon hit a zero to prove it, I issued the coupon you took, we have no problem to talk directly on the car.",1102,46,18,0.624166667,18,0.416388889,18,0.4905
"[11:25.480,11:30.980,0]",嗯，宝贝裤子有加绒不加绒的最大码是150，可以穿到80斤以内都是没有问题的。,"B: Well, the maximum size of the baby pants is 150 with or without fleece. You can wear them up to 80 pounds without any problem.",1115,20,6,0.623166667,6,0.4125,6,0.486333333
"[11:30.980,11:32.105,0]",后台链接做好了吗？,Is the background link ready?,1123,4,2,0.413,2,0.3105,2,0.4945
"[11:32.105,11:35.105,0]",做好了之后赶紧开，那就80单来吧。,"As soon as you're done, let's get 80 orders.",1123,4,1,0.74,1,0.594,1,0.667
"[11:35.105,11:41.730,0]",80单给大家今天全部放在首批发货当中去呃，然后这80单今天买完我就恢复正常价格了。,All 80 orders will be placed in the first batch of shipment today. Then I will restore the normal price after the 80 orders are bought today.,1123,23,9,0.646333333,9,0.382777778,9,0.573444444
"[11:41.780,11:50.180,0]",所以，真心喜欢想要的宝贝，先把名额占到手，先到先得啊，呃，格子放1号，橙色放2号，裤子放3号。,"So, if you really like the baby you want, you get the spot first, first come, first served, uh, plaid number one, orange number two, pants number three.",1137,19,12,0.589416667,12,0.330583333,12,0.494916667
"[11:50.180,11:52.680,0]",准备最后一波加单倒计时。,Prepare the countdown to the last wave.,1137,6,2,0.547,2,0.617,2,0.5465
"[11:52.680,12:0.430,1]",最后一波543211号链接一共只有80单，一号链接是得子，二号链接。,"The last wave of 543211 link has a total of 80, the number one link is the child, the number two link.",1201,18,8,0.515125,8,0.282375,8,0.48775
"[12:0.500,12:9.100,1]",这是橙色三号链接，是裤子成套搭配，美丽加倍，名额有限，错过要拍大腿，错过要后悔一整天。,"This is the orange link number three, is a pair of pants, double the beauty, limited places, miss to pat the thigh, miss to regret all day.",1207,21,10,0.4731,10,0.3575,10,0.3998
"[12:9.150,12:13.450,1]",而且，左上角的大额优惠券记得领一下，不然比别人贵。,"Also, remember to pick up the large coupon in the upper left corner, otherwise it will be more expensive than others.",1207,18,9,0.607666667,9,0.426444444,9,0.576
"[12:13.500,12:19.200,1]",所以说，姐妹们赶紧刷新去抢，刷新去拍，先到先得。,"So, sisters rush to refresh to grab, refresh to shoot, first come, first served.",1221,9,5,0.6188,5,0.6178,5,0.7
"[12:19.350,12:25.450,0]",是的，格子的话，今天放在1号链接，棉服放在2号，裤子放在3号。,"Yes, plaid, today on the number one link, quilts on the number two, pants on the number three.",1221,13,6,0.539833333,6,0.2685,6,0.413
"[12:25.450,12:33.000,0]",是的，这3件我都给你们今天一起开了，喜欢哪一件买哪一件，但是就80单拍完不下单就80单。,"Yes, I'll open all three of them together today. I'll buy whichever one I like, but only 80 shots or 80 orders.",1226,14,5,0.692,5,0.4316,5,0.5172
"[12:33.100,12:42.250,0]",对呃，这个衣服棉服今天给大家129没开啊，不是129的价格领到券的宝贝今天下单79块9起是的链接呢。,"Yes, this dress quilts today for everyone 129 did not open ah, not 129 price to get the voucher baby today order 79 $9 from the link.",1227,20,9,0.716666667,9,0.393,9,0.523333333
"[12:42.500,12:43.700,1]",好，我弹讲讲。,"Ok, let me play it.",1231,3,2,0.6195,2,0.569,2,0.3325
"[12:44.350,13:0.450,0]",他们都在刷链接，好的，可能1200个宝贝去刷的时候呢，他有点卡顿，你把链接连续讲，这个时候他们就能刷得到，没问题啊，连续弹一下他们就能刷得到120身高卡码去加呃，如果想要穿的久一点，去加大一个码吧，好吧，1000。,"They're all swiping the link, okay, maybe 1200 babies to swipe it, he's a little stuck, you put the link in succession, this time they can swipe it, no problem, they can flick it in succession and they can swipe 120 height card to add uh, if you want to wear longer, go up a size, okay, 1000.",1248,42,18,0.580888889,18,0.410111111,18,0.445555556
"[13:0.520,13:8.770,0]",八的话，40斤买个12090身高就买90，这个比较偏厚实一点，给大家做到是双倍加厚的，秋冬春三个季节都能去穿的。,"Eight, 40 catties to buy 12090 height to buy 90, this is a bit thicker, give you to do is double thickening, autumn winter spring three seasons can go to wear.",1268,24,13,0.679461538,13,0.437153846,13,0.492923077
"[13:8.870,13:15.620,0]",今天给到大家到手价格79块9，买棉服，而且是很轻很暖和的男女都能去穿。,"Today I'll give you the price of $79. 9. Buy a cotton-padded jacket, which is light and warm enough for both men and women to wear.",1261,20,6,0.722833333,6,0.421333333,6,0.518833333
"[13:15.670,13:25.220,0]",我们家今天开这个价格，不是说我品质做的差了我给你们开这个价格，最后40单恰恰相反，我品质做得好，我不怕你们回去试啊。,"Our price today is not to say that my quality is bad, I will give you this price, the last 40 orders on the contrary, my quality is good, I am not afraid you go back to try.",1258,32,10,0.6054,10,0.43,10,0.5343
"[13:25.220,13:41.795,0]",我这80单，我让你们今天在我直播间第一次来消费的宝贝可以有一个消费体验，先以体验为主，你们回去先花小钱体验高货，回去收到货，如果觉得值，你在线下卖的三位数的一百八九两百来块钱的就留了。,"I have 80 orders, I let you today in my broadcast room for the first time to consume the baby can have a consumption experience, first to experience, you go back to spend a small amount of money to experience high goods, go back to receive goods, if you think it is worth, you sell in the line of three-digit 189200 yuan to stay.",1222,54,27,0.62862963,27,0.438703704,27,0.519518519
"[13:41.795,13:47.270,0]",然后如果觉得不值，没关系，直接申请退，但以后再来买这个价格没有这个价格是没有的。,"Then if you think it is not worth it, it doesn't matter, directly apply for a refund, but you can buy it again later without this price.",1168,22,6,0.741666667,6,0.461333333,6,0.657
"[13:47.270,13:49.520,0]",呃，格子没有做80的，都没有做80。,"Well, lattice didn't make 80. No one made 80.",1112,5,3,0.544,3,0.377333333,3,0.399666667
"[13:49.520,14:0.370,0]",我们家是90~15的，就码正拍今天买到全部是给大家发首批的，今天买到发首批，但以后再来买宝贝，我先说好了这个衣服以后。,"Our home is 90~15, just the code is shooting today to buy all are to send you the first batch, today to buy the first batch, but later to buy baby, I first said this clothes after.",1087,32,13,0.693,13,0.513692308,13,0.577923077
"[14:0.540,14:5.215,0]",129，少一分，带不走哦，拍完之后，也就恢复到129了。,"129, one point less, can't take away oh, after the shoot, it's back to 129.",1087,8,4,0.5745,4,0.34375,4,0.37125
"[14:5.215,14:11.290,0]",所以，你们真心喜欢，想要宝贝们先不用想其他的品质跟价格全部交给我，你们先体验一下。,"So, if you really like it, if you want the baby, don't think about other quality and price, I will give you a taste first.",1074,19,8,0.72425,8,0.4045,8,0.559125
"[14:11.390,14:15.490,0]",几十块钱，你们在线下可能逛街半个小时，你喝两三杯奶茶没了。,"Tens of yuan, you may go shopping offline for half an hour, you drink two or three cups of milk tea is gone.",1075,20,9,0.663,9,0.315888889,9,0.394111111
"[14:15.640,14:26.165,0]",今天在我直播间，我给到大家今天花的也是明白的钱，好吧，幺三幺五三九十九斤，穿不了面料特别柔软，棉的三棉的，它能不柔软吗？,"Today in my broadcast room, I give you to spend today is also understand the money, well, MAO MAO 539 pounds, can not wear the fabric is particularly soft, cotton three cotton, it can not soft?",1007,28,12,0.664333333,12,0.353333333,12,0.398
"[14:26.165,14:32.590,0]",不是涤纶化纤的啊，宝贝们，最后给大家再保留20秒付款时间，我就恢复到129的价格了。,"It's not polyester, baby. At the end of the day, I'll give you 20 seconds to pay, and I'll restore the price to 129.",973,15,4,0.548,4,0.415,4,0.4895
"[14:32.690,14:37.340,0]",106买110啊，幺零六三十八斤啊，那可以买120就行了。,"106 buy 110 ah, one thousand six hundred and thirty-eight pounds ah, that can buy 120.",941,10,7,0.644714286,7,0.438428571,7,0.457857143
"[14:37.340,14:48.540,0]",搭配裤子，你们搭配我们家花灰色啊，搭配花灰色就手上这条卫裤，男生当然能穿了，男女都能穿，这个是晴天主题的就是蓝天白云的感觉都能去穿的啊。,"With pants, you with our family flower gray ah, with flower gray on the hand of this sweatpants, boys of course can wear, both men and women can wear, this is a sunny theme is the feeling of blue sky and white clouds can go to wear ah.",912,42,17,0.648117647,17,0.275941176,17,0.381117647
"[14:48.590,14:54.340,0]",我们家这一件给大家过到的是轻薄一点的，我觉得这个更适合当做一个内胆去穿。,The one we have at home for everyone is a little lighter. I think this one is more suitable for wearing as an inner bladder.,879,23,9,0.650555556,9,0.316111111,9,0.481666667
"[14:54.590,15:0.490,0]",这一件的话，你们到时候南方宝宝都可以去入手，也是加棉的轻薄的啊，这个你们到。,"This one, you when the south baby can go to buy, also add cotton light ah, this you go.",853,15,7,0.672714286,7,0.330285714,7,0.442142857
"[15:0.560,15:13.510,0]",9价格是59块九吧，这一件呃幺二四五十二斤去买130就行了，做点亲子的幺零六四十斤买个120做点儿亲子的，我怕你们都买不完了，都幺三五六十二斤买140啊。,"9 The price is 59 yuan 9, this one er 2452 catties to buy 130 on the line, do some parent-child mono 6040 catties to buy 120 parent-child do some parent-child, I'm afraid you can not buy all, all mono 3562 catties to buy 140 ah.",854,30,12,0.593083333,12,0.571166667,12,0.4725
"[15:13.710,15:17.610,0]",嗯，然后这个棉服的话，我们拍完之后直接恢复到109吧。,"Well, with the quilted suit, let's just go straight back to 109 when we're done.",843,9,2,0.474,2,0.397,2,0.39
"[15:18.260,15:27.735,0]",裤子有加绒不加绒两个版本的啊，加绒不加绒都可以，根据你们南方北方两地的需求去买啊，然后价格是39块9起的。,"Pants with or without fleece two versions ah, fleece or without fleece, according to your north and south to buy, then the price is 39.9 yuan.",830,21,7,0.555285714,7,0.287857143,7,0.416142857
"[15:27.735,15:36.710,0]",这个裤子的话，今天也是做搭配的，呃八十三二十三斤去买个九零码裤子的话，待会儿拍完也要恢复的，恢恢复一下价格恢复到69啊。,"This pants, today is also to do the match, uh eighty-three pounds to buy a size 90 pants, after the auction also want to restore, restore the price back to 69 ah.",821,24,9,0.636111111,9,0.513444444,9,0.521333333
"[15:36.860,15:44.960,0]",今天买到的全部是给大家做到的，是一个首批来的，所以早买也可以早感受一下，早享受到发货好不好啊？,"What I bought today is all for you to do, is one of the first to come, so early to buy can also feel early, early to enjoy the delivery, OK?",847,26,9,0.714777778,9,0.477777778,9,0.531555556
"[15:44.960,15:51.360,0]",都买到都拍到了吧，都买到都拍到的话，我们这边就准备先过掉了啊，那就过其他的了。,"I think we've got all of them. If we've got all of them, we're ready to pass them first. Then we'll pass the others.",842,16,4,0.644,4,0.361,4,0.4975
"[15:51.410,15:55.685,0]",对，是棉服啊，宝贝们衣服还没买链接就没了，就买了个裤子。,"Yes, it's a cotton-padded jacket. Baby, the link is gone before the clothes are bought. I just bought a pair of pants.",852,15,4,0.526,4,0.27025,4,0.34975
"[15:55.685,16:0.510,0]",今天那这样吧，新粉今天刚刚来到我们家直播间左上角没。,How about today? The new fan just arrived at the top left corner of our studio today.,865,15,6,0.648166667,6,0.375,6,0.473333333
"[16:0.580,16:5.080,0]",点关注的，大家先把关注先点一下，关注的话，先可以点一下。,"Point of concern, we first focus on the first point, if you are concerned, you can point first.",865,14,6,0.597,6,0.354666667,6,0.59
"[16:5.230,16:7.280,0]",喜欢我们家风格的先点一下啊。,"If you like our style, click on it first.",875,7,2,0.6275,2,0.359,2,0.357
"[16:7.380,16:14.005,0]",嗯，衣服没了我看到了，要哪个喜欢哪个，你们喜欢哪个我就先上哪个了。,"Well, the clothes are gone. I see them. I'll take whichever one you like first.",875,10,5,0.7114,5,0.3442,5,0.378
"[16:14.005,16:15.830,0]",你们想要哪个我就先讲哪个。,I'll tell you which one you want first.,875,6,3,0.588,3,0.428,3,0.475
"[16:16.080,16:22.330,0]",要格子留个1，要橙色留个2，喜欢哪个我就给你们先上哪个，想要哪个我就给你们先上哪个。,"Leave a 1 for the grid, a 2 for the orange, and I'll give you the one you like first, the one you want first.",888,18,6,0.599833333,6,0.373333333,6,0.429833333
"[16:22.330,16:29.880,0]",按你们需求来好不好，这两个都是棉服来的，都是棉服啊，春秋冬都能穿的呃，都有都要是吗？,"According to your needs, how about these two are cotton-padded clothes, they are cotton-padded clothes, can be worn in spring and winter, are they all available?",890,19,5,0.6078,5,0.3304,5,0.4164
"[16:30.030,16:31.705,0]",那就两个链接都做了吧。,Do both links then.,891,3,1,0.67,1,0.548,1,0.536
"[16:31.705,16:45.980,0]",后台好，最后一波了，再帮我申请个50单过来，再给大家这50单半价的活动链接，你帮我准备一下，然后我把面料细节给你们讲一下，讲完之后，你们再去买，不要去觉得盲目去就是下单的啊。,"Backstage hello, the last wave, and help me apply for 50 singles over, and then give you this 50 singles half price activity link, you help me prepare, and then I tell you the details of the fabric, after the finish, you go to buy, do not feel blind to go is the order ah.",915,44,14,0.628142857,14,0.433,14,0.534071429
"[16:46.030,16:50.355,0]",这个衣服，不管我开的再便宜，也要看清楚品质好吧。,"This dress, no matter how cheap I buy it, must be of good quality.",938,11,6,0.647666667,6,0.4305,6,0.495833333
"[16:50.355,17:0.030,0]",我问一下，我直播间900来位宝妈们今天要下单呢，是给男生还是给女生买的是给男生买的，留个男，是给女生买的，留个女啊。,"Let me ask you, the 900 or so precious mothers in my studio are placing orders today, are they buying for boys or for girls? They're buying for boys, keeping a boy, keeping a girl.",965,27,8,0.63325,8,0.46325,8,0.592
"[17:0.030,17:0.530,0]",我们这个。,Ours.,965,0,0,,0,,0,
"[17:0.600,17:5.050,0]",新号的话，每一天人群不稳定，我想看一下今天是偏男孩儿多，还是女孩儿多。,"With the new number, the crowd is unstable every day. I want to see if there are more boys or more girls today.",982,20,5,0.548,5,0.563,5,0.4746
"[17:5.150,17:15.025,0]",后续会跟我们家那个设计开发的小姐姐沟通一下啊，男孩儿女孩儿都买男女都有这个衣服，偏中性啊，宝贝都能穿的。,I will communicate with my sister who designs and develops in my family later. Boys and girls buy this dress for both men and women. It is neutral and can be worn by babies.,982,31,10,0.7087,10,0.386,10,0.5147
"[17:15.025,17:28.300,0]",这个颜色的主题就是晴天蓝天白云的，就是小朋友穿在身上一眼就很明亮的上身就是那种很清新清爽的感觉，然后，面料给大家做到的是棉感的，中间是双倍加厚的棉。,"The theme of this color is sunny blue sky and white clouds, which means that the upper body worn by children is very bright at a glance is that kind of fresh and refreshing feeling. Then, the fabric gives you a sense of cotton, and the middle is double thickened cotton.",1001,46,19,0.723947368,19,0.349263158,19,0.478263158
"[17:28.450,17:34.700,0]",呃，里面给你们做到的是舒美城内衬的吸式排汗非常棒，上身不觉得闷，不觉得不透气。,"Well, what you've got in there is a very good suction perspiration from the Comforter inner lining. It doesn't feel stuffy, it doesn't feel breathable.",980,18,7,0.650857143,7,0.474714286,7,0.498142857
"[17:34.700,17:43.650,0]",而且，整个衣服的话，大家春秋冬三个季节都能去穿的啊，春秋冬穿起来的话，它都是很保暖的，可以当内搭，可以当外套。,"Moreover, the whole clothes, we can go to the spring and autumn winter three seasons to wear ah, spring and autumn and winter to wear up, it is very warm, can be used as the interior, can be used as a coat.",992,35,18,0.611333333,18,0.321833333,18,0.433833333
"[17:43.700,17:57.900,0]",我们家这个衣服的话，你别看它是一件这样就是很轻飘飘的，但是它很保暖的，它做到的是轻暖的感觉的，呃，南北方都能去穿的，回去大家手洗机洗都可以，不缩水不变形，不会成团的。,"Our home this clothes, you don't look at it is a piece of this is very light floating, but it is very warm, it is light warm feeling, uh, the north and south can go to wear, go back to everyone hand washing machine washing can not shrink not deformation, will not form a group.",970,46,20,0.61635,20,0.357,20,0.47745
"[17:57.900,18:0.550,0]",因为用的棉花全部是好的，不会给你。,"Because the cotton used is all good, it will not be given to you.",962,12,4,0.59025,4,0.25625,4,0.454
"[18:0.620,18:9.670,0]",你们做那些差的成团的，我们家不是做那种以次充好的，就是有一些棉服的话，它就是以重取胜的，就觉得重就保暖了。,"You do those bad group, our family is not to do that kind of shoddy, is to have some cotton clothes, it is to win by heavy, you feel heavy on the warm.",994,28,10,0.6726,10,0.4554,10,0.5623
"[18:9.720,18:13.520,0]",那那些的话，就是你们洗了之后肯定会成坨，这个不会的啊。,"Well, if that's what happens when you wash it, it's going to be a mess. This isn't.",994,11,2,0.6525,2,0.3085,2,0.4255
"[18:13.570,18:23.120,0]",然后这个小朋友穿在身上也不压个儿不压身的，男女胖瘦黑皮黄皮都能去穿，因为这个颜色就相当于太阳放晴的时候，对不对？,"Then the children wear on the body also do not press the body, men and women fat thin black yellow skin can go to wear, because this color is equivalent to when the sun clears up, right?",1034,33,14,0.605214286,14,0.398571429,14,0.438857143
"[18:23.120,18:27.720,0]",我们出门不管是黑皮黄皮，它都是比较显白的，呃，都能hold得住的。,"Whether we go out black or yellow, it is more white, uh, can hold.",1063,10,2,0.586,2,0.4005,2,0.449
"[18:27.770,18:33.170,0]",线下你们去买一件这种品质的小众行货店，卖你一件起码得两两百块。,"Offline, if you go to a niche store of this quality, it will cost you at least two hundred or two hundred yuan.",1078,20,9,0.547333333,9,0.373333333,9,0.440333333
"[18:33.370,18:40.420,0]",今天在我直播间给大家129半价，我都不开了，我也冲刺一波一千五一千五百的在线吧。,"Today in my studio to give you 129 half price, I do not open, I also sprint a wave of one thousand five thousand five hundred online.",1115,23,13,0.620461538,13,0.361,13,0.434153846
"[18:40.670,18:41.270,1]",好的。,Well.,1115,0,0,,0,,0,
"[18:41.420,18:44.420,0]",后边帮那个帮我设计一下优惠券没问题。,Help the one in the back and help me design the coupon.,1115,11,5,0.6244,5,0.3828,5,0.4516
"[18:44.420,18:51.270,0]",今天呢，给大家待会儿领到券的宝贝去下单的，可以今天两位数体验一下买棉服的快乐啊。,"Today, I will place an order for the baby who got the ticket later. You can experience the happiness of buying cotton clothes in double digits today.",1115,24,12,0.73625,12,0.41075,12,0.571416667
"[18:51.270,18:54.170,0]",那个宝贝有啥问题，我刚刚没有看到呃。,What's wrong with that baby? I didn't see it.,1140,5,2,0.3385,2,0.4255,2,0.396
"[18:54.170,18:57.945,0]",然后你去联系我的客服，去找我客服去给他去解决好吧。,"Then you go to contact my customer service, go to my customer service to solve it for him.",1140,16,7,0.600428571,7,0.443428571,7,0.569
"[18:57.945,19:0.420,0]",问一下客服，你们今天想要怎么去买。,Ask customer service how you would like to buy it today.,1131,10,6,0.626666667,6,0.468666667,6,0.525333333
"[19:0.640,19:5.490,0]",要我单件的小格子的话，留个一，要我这3件都上的，留个3。,"If I want a single box, keep one, and if I want all three, keep three.",1131,12,5,0.6122,5,0.446,5,0.5098
"[19:5.790,19:12.440,0]",我们家直播间做搭配，但是我们家不捆绑消费，我按照你们需求来，你们今天想怎么买我就怎么上啊。,"Our home broadcast room to do collocation, but our family does not bundle consumption, I according to your needs, you want to buy how I can go on ah.",1125,25,10,0.696,10,0.4626,10,0.5066
"[19:12.440,19:13.940,0]",买衣服是自由的好不好？,"Buying clothes is free, okay?",1125,3,2,0.749,2,0.527,2,0.5015
"[19:14.040,19:26.015,0]",然后这个衣服给到大家呢，它是加薄棉的，这件我觉得适合当内搭当内胆去穿，更适合南方一点，这个更适合北方一点的裤子，也有加绒不加绒两个规格的后台。,"Then this dress is given to everyone. It's made of thin cotton. I think this one is suitable to be worn as an inner lining, more suitable for the south, and this one is more suitable for the north.",1128,33,11,0.640545455,11,0.314636364,11,0.491909091
"[19:26.015,19:33.515,0]",这样吧，你把3个链接都给大家做一下，今天3件都上，每一件今天都给大家优惠一点好吧。,"I'll tell you what, why don't you make all three links for everyone, all three today, and give everyone a discount on each one today?",1152,19,7,0.651,7,0.341142857,7,0.409
"[19:33.515,19:43.940,0]",但是，我就一个小小请求，这个账号是新号啊，我们这个账号就需要快速涨粉儿的，所以大家先把关注点一下，我需要先累积到10万的信任粉丝。,"However, I just have a small request, this account is a new number ah, our account needs to quickly grow followers, so everyone focus on it first, I need to accumulate 100,000 trusted fans.",1160,27,11,0.650454545,11,0.451454545,11,0.505090909
"[19:43.940,19:53.990,0]",什么是信任粉丝就在我家，喜欢我家衣服的，呃来买我家衣服，想要成成为我的回头客的，今天这个关注来都不会让你们白点的好吧。,"What is the trust of fans in my home, like my clothes, uh to buy my clothes, want to become my repeat customers, today's attention will not let you white point well.",1154,26,10,0.6535,10,0.4996,10,0.5839
"[19:54.090,20:0.590,0]",呃，那后台这样吧，今天愿意支持我们的宝贝是自家粉丝的，你刚刚呃棉服做的是30卷吗？,"Uh, how about backstage? The baby who wants to support us today is a fan of our own family. Did you just, uh, make 30 rolls?",1164,19,5,0.7838,5,0.3984,5,0.4782
"[20:0.810,20:1.360,1]",是的。,Yes.,1164,0,0,,0,,0,
"[20:1.460,20:3.585,0]",就先别发30了，直接改到50吧。,Let's skip the 30 and go straight to 50.,1148,6,2,0.484,2,0.6225,2,0.4415
"[20:3.585,20:10.310,0]",好的，今天给大家领到优惠券的宝贝，直接幺零九九十九都不开了。,"All right, today I got you all the coupons, so I won't open them anymore.",1148,11,2,0.713,2,0.393,2,0.4655
"[20:10.510,20:15.160,0]",好吧，50块钱优惠券给你们去再发一波，领好券带你们上车，一共多少张？,"All right, I'll give you another wave of 50 yuan coupons. Get them and take you to the car. How many are there?",1148,17,4,0.735,4,0.492,4,0.50125
"[20:15.360,20:17.310,1]",一共啊，只有80张。,B: That's all. Only 80.,1155,1,0,,0,,0,
"[20:17.310,20:22.035,0]",80张券来，左上角准备好发券倒计时54321。,"80 tickets, top left, ready to hand out 54321.",1155,5,3,0.690666667,3,0.367333333,3,0.545333333
"[20:22.035,20:33.860,1]",左上角先点关注再领券，领券给优惠，秋季新款立减50元就有80张券，所以大家一样抓紧时间拼手速拼网速，先到先得。,"Top left first point attention and then coupon, coupon to discount, the autumn new model immediately reduced 50 yuan there are 80 coupons, so we take the same time to fight hand speed fight network speed, first come first served.",1154,33,21,0.609904762,21,0.472333333,21,0.583904762
"[20:34.710,20:38.560,0]",左上角点关注去领券，点关注，领到优惠券下单。,"In the top left corner, click Follow to get the coupon, click follow, get the coupon to order.",1171,14,8,0.629625,8,0.437125,8,0.47575
"[20:38.610,20:43.210,0]",今天我们给到大家直接是额外再减50的，这实打实给你们减的啊。,Today we're giving you an extra 50. That's a real cut for you.,1171,9,5,0.6932,5,0.438,5,0.5604
"[20:43.260,20:48.560,0]",然后这两件你也帮我减一下，纯色跟卫裤的也是两位数优惠价格半价开一波啊。,Then you can also reduce these two for me. The solid color and sweatpants are also double figures at half price.,1182,19,7,0.575857143,7,0.3,7,0.457714286
"[20:48.710,20:53.660,0]",这三件，你们买哪件今天都划算，但是唯一缺点就是单不多，80单。,"A: You can get a good deal on any of these three today, but the only drawback is that there are not many orders, 80.",1187,21,6,0.669,6,0.428,6,0.453833333
"[20:53.760,20:56.510,0]",你们要什么尺码，公屏上留什么尺码。,What size do you want? What size is on the public screen?,1187,10,4,0.581,4,0.4325,4,0.5845
"[20:56.560,21:0.610,0]",后台这边根据大家公屏上留的尺码，就80单一。,"Backstage, according to the size on your public screen, it's only 80.",1187,8,2,0.5615,2,0.423,2,0.6165
"[21:0.680,21:5.730,0]",一对一精准加单，哪个尺码要的多，哪个尺码就给大家多开多加多上。,"One to one, the exact order, which size wants more, which size will give everyone more.",1217,12,6,0.6285,6,0.345333333,6,0.571333333
"[21:5.880,21:16.605,0]",我手上展示的都是100码，我们家是90~150的国标尺码，正码正拍，你们要90留90，要100留100，哪个尺码多我就多开一点啊。,"My hand is showing 100 size, our family is 90~150 national standard size, positive size is shooting, you want 90 stay 90, want 100 stay 100, whichever size is more I will open a little more ah.",1217,27,15,0.6518,15,0.387266667,15,0.5716
"[21:16.605,21:25.630,0]",如果不知道怎么去拍身高体重报给我多刷几遍，我看到给你们做回复是80没有的啊，宝贝儿，150可以穿到80斤以内都没有问题的。,"If you don't know how to take the height and weight report to me a few times, I see to give you a reply is 80 no ah, baby, 150 can wear to 80 pounds are no problem.",1260,30,10,0.6424,10,0.3965,10,0.4969
"[21:25.730,21:27.480,0]",9026斤就买90。,I'll buy you 90 pounds for 9026.,1263,4,1,0.771,1,0.769,1,0.612
"[21:27.680,21:29.730,0]",后台帮我看一下哪个尺码多一点。,"Backstage, help me see which size is bigger.",1264,6,3,0.613,3,0.358666667,3,0.447
"[21:29.730,21:31.980,1]",这波这波130要的多一点。,A little more for this wave of 130.,1252,7,2,0.5035,2,0.3255,2,0.3515
"[21:31.980,21:32.780,0]",13是吗？,13 Do you?,1252,1,1,0.67,1,0.548,1,0.536
"[21:32.830,21:34.180,0]",那就13多加吧。,Make it 13 extra then.,1252,3,2,0.67,2,0.4855,2,0.6125
"[21:34.330,21:36.805,0]",好吧，其他码你们要的不多就不加那么多了。,"All right, I won't add so many other sizes if you don't want much.",1252,10,3,0.623666667,3,0.454,3,0.470333333
"[21:36.805,21:47.505,0]",来吧，先上一波呃，这个衣服的话，今天给大家呢要买两件的宝宝，我就不限你单了，家里面两个孩子的，咱们就不限单了，要买两件，分开两次领券下单。,"Come on, the first wave of uh, this dress, today for everyone to buy a two-piece baby, I will not limit your order, two children in the family, we will not limit the order, buy two, two separate voucher order.",1261,30,15,0.608866667,15,0.446266667,15,0.539
"[21:47.505,21:50.930,0]",第二件，我再给你减50两件累计减的更多。,"For the second piece, I'll give you 50 less. Two pieces will add up to more.",1261,11,5,0.6372,5,0.3308,5,0.4886
"[21:51.130,21:54.780,0]",所以说，你们今天检查好了，就这么一点儿小事儿，咱们就上车了。,"So, you checked it out today, just a little thing, and we're on the bus.",1261,10,1,0.385,1,0.16,1,0.213
"[21:54.830,22:0.630,0]",左上角的50元券领到券的打个零，注明一下，我发了你领了。,"The 50 yuan coupon in the top left corner, put a zero on it and mark it as ""I gave it to you.""",1236,19,5,0.5658,5,0.3398,5,0.4892
"[22:0.700,22:4.100,0]",那没什么问题就直接谈讲解了，就不在直播间去说了啊。,B: No problem. Just talk about it and explain it instead of going on the air.,1236,13,2,0.776,2,0.4315,2,0.665
"[22:4.100,22:6.100,0]",喜欢小要宝贝，今天都可以感受一下。,"Love baby, you can feel it today.",1236,5,3,0.821333333,3,0.493666667,3,0.574333333
"[22:6.100,22:10.100,0]",如果没有领到券的，待会儿是要比别人贵，我们是补不了差价的。,"If you don't get the ticket, it will be more expensive than others, and we won't be able to make up the difference.",1228,18,7,0.653,7,0.420285714,7,0.618571429
"[22:10.100,22:24.000,0]",我先说好，是的，格子给大家放1号链接，纯色放2号，裤子放3号，一共给大家开100单吧，别开八十八十单了，100单再加20单给到你们好不好呃，今天买100单，全部是首批拍完之后恢复价格。,"Let me first say, yes, the grid for you to put a link No. 1, solid color put No. 2, pants put no. 3, give you a total of 100 singles, don't open eighty eighty singles, 100 singles plus 20 singles to you, well, today to buy 100 singles, all are the first batch of auction after the recovery price.",1229,41,21,0.619285714,21,0.400428571,21,0.529571429
"[22:24.050,22:25.825,0]",拍完之后直接下链接。,Go straight to the link when you're done.,1266,6,2,0.4685,2,0.3525,2,0.4675
"[22:25.825,22:30.175,0]",所以喜欢小要的宝贝们可以先把名额先占到好吧，来准备一下。,"So if you love the baby, you can get your place first. Okay, let's get ready.",1226,11,5,0.743,5,0.4656,5,0.5718
"[22:30.175,22:40.450,1]",给大家加单倒计时543211号链接，一共100单，一号链接格子，2号链接纯色，3号链接裤子，成套搭配，美丽翻倍。,"Give you a single countdown 543211 link, a total of 100 singles, link No. 1 grid, link No. 2 solid color, link No. 3 pants, complete sets of matching, beautiful double.",1274,16,10,0.5823,10,0.3802,10,0.5656
"[22:40.450,22:42.150,1]",名额有限，错过不再有。,"Seats are limited, missed no more.",1270,4,0,,0,,0,
"[22:42.150,22:46.350,1]",大家赶紧刷新去抢，刷新去拍，先到先得。,"Refresh to grab, refresh to shoot, first come, first served.",1276,6,4,0.672,4,0.57,4,0.7385
